Subject Code	Description	Group	Activity	Day	Time	Campus	Location	Duration	Dates
MATH3401_S1_STLUC_IN	Complex Analysis	LEC1	01	Tue	09:00	STLUC	07-222 - Parnell Building, Lecture Theatre	1 hr	25/2-7/4, 21/4-26/5
MATH3401_S1_STLUC_IN	Complex Analysis	LEC2	01	Thu	10:00	STLUC	07-222 - Parnell Building, Lecture Theatre	1 hr	27/2-9/4, 23/4-28/5
MATH3401_S1_STLUC_IN	Complex Analysis	LEC3	01	Fri	10:00	STLUC	07-222 - Parnell Building, Lecture Theatre	1 hr	28/2-10/4, 24/4-29/5
MATH3401_S1_STLUC_IN	Complex Analysis	TUT1	01	Tue	10:00	STLUC	83-C416 - Hartley Teakle Building, Collaborative Room	1 hr	3/3-7/4, 21/4-26/5
MATH3401_S1_STLUC_IN	Complex Analysis	TUT1	02	Mon	09:00	STLUC	32-208 - Gordon Greenwood Building, Collaborative Room	1 hr	2/3-6/4, 20/4-25/5
MATH3401_S1_STLUC_IN	Complex Analysis	TUT1	03	Tue	12:00	STLUC	09-222 - Michie Building, Tutorial Room	1 hr	3/3-7/4, 21/4-26/5
MATH3401_S1_STLUC_IN	Complex Analysis	TUT1	04	Tue	11:00	STLUC	78-224 - General Purpose South, Collaborative Room	1 hr	3/3-7/4, 21/4-26/5
MATH3401_S1_STLUC_IN	Complex Analysis	TUT1	05	Mon	10:00	STLUC	78-224 - General Purpose South, Collaborative Room	1 hr	2/3-6/4, 20/4-25/5
MATH3401_S1_STLUC_IN	Complex Analysis	TUT1	06	Thu	11:00	STLUC	78-224 - General Purpose South, Collaborative Room	1 hr	5/3-9/4, 23/4-28/5
MATH3401_S1_STLUC_IN	Complex Analysis	TUT1	07	Thu	12:00	STLUC	78-224 - General Purpose South, Collaborative Room	1 hr	5/3-9/4, 23/4-28/5
MATH3401_S1_STLUC_IN	Complex Analysis	TUT1	08	Thu	13:00	STLUC	78-224 - General Purpose South, Collaborative Room	1 hr	5/3-9/4, 23/4-28/5
MATH3402_S1_STLUC_IN	Functional Analysis	LEC1	01	Mon	16:00	STLUC	14-115 - Sir Llew Edwards Building, Tutorial Room	1 hr	24/2-6/4, 20/4-25/5
MATH3402_S1_STLUC_IN	Functional Analysis	LEC2	01	Wed	12:00	STLUC	14-115 - Sir Llew Edwards Building, Tutorial Room	1 hr	26/2-8/4, 22/4-27/5
MATH3402_S1_STLUC_IN	Functional Analysis	LEC3	01	Fri	12:00	STLUC	84-128  - Therapies Building, Tutorial Room	1 hr	28/2-10/4, 24/4-29/5
MATH3402_S1_STLUC_IN	Functional Analysis	TUT1	01	Mon	17:00	STLUC	09-210 - Michie Building, Tutorial Room	1 hr	2/3-6/4, 20/4-25/5
MATH3402_S1_STLUC_IN	Functional Analysis	TUT1	02	Fri	13:00	STLUC	82G-301  - Seddon G Block,Tutorial Room	1 hr	6/3-10/4, 24/4-29/5
MATH3303_S1_STLUC_IN	Abstract Algebra & Number Theory	LEC1	01	Mon	10:00	STLUC	09-210 - Michie Building, Tutorial Room	2 hrs	24/2-6/4, 20/4-25/5
MATH3303_S1_STLUC_IN	Abstract Algebra & Number Theory	LEC2	01	Wed	14:00	STLUC	09-210 - Michie Building, Tutorial Room	1 hr	26/2-8/4, 22/4-27/5
MATH3303_S1_STLUC_IN	Abstract Algebra & Number Theory	TUT1	01	Wed	15:00	STLUC	09-210 - Michie Building, Tutorial Room	1 hr	4/3-8/4, 22/4-27/5
